Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8034066713981547,0.6520376175548589,0.5561497326203209,0.6002886002886003
Decision Tree,0.7416607523066004,0.5138888888888888,0.4946524064171123,0.5040871934604905
